Datums;AdministrativiTeritorialasVienibasNosaukums;ATVK;ApstiprinataCOVID19infekcija;14DienuKumulativaSaslimstiba
2021.07.13.;Talsu novads;0051000;no 1 līdz 5;6
2021.07.13.;Tukuma novads;0052000;28;30
2021.07.13.;Valkas novads;0053000;0;0
2021.07.13.;Valmieras novads;0054000;8;11
2021.07.13.;Varakļānu novads;0055000;0;0
2021.07.13.;Ventspils novads;0056000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Ventspils pilsēta;0007000;14;18
2021.07.14.;Adrese nav norādīta;Nav;…;…
2021.07.14.;Aizkraukles novads;0020000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Augšdaugavas novads;0022000;17;17
2021.07.14.;Ādažu novads;0023000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Balvu novads;0024000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Bauskas novads;0025000;8;8
2021.07.14.;Cēsu novads;0026000;10;10
2021.07.14.;Daugavpils pilsēta;0002000;17;17
2021.07.14.;Dienvidkurzemes novads;0027000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Dobeles novads;0028000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Jelgavas novads;0030000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Jelgavas pilsēta;0003000;20;20
2021.07.14.;Jēkabpils novads;0031000;10;10
2021.07.14.;Jūrmalas pilsēta;0004000;12;12
2021.07.14.;Krāslavas novads;0032000;15;15
2021.07.14.;Kuldīgas novads;0033000;9;9
2021.07.14.;Ķekavas novads;0034000;10;10
2021.07.14.;Liepājas pilsēta;0005000;10;10
2021.07.14.;Limbažu novads;0035000;6;6
2021.07.14.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Ludzas novads;0037000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Madonas novads;0038000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Mārupes novads;0039000;8;8
2021.07.14.;Ogres novads;0040000;14;14
2021.07.14.;Olaines novads;0041000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Preiļu novads;0042000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Rēzeknes novads;0043000;7;7
2021.07.14.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Rīga;0001000;263;263
2021.07.14.;Ropažu novads;0044000;10;10
2021.07.14.;Salaspils novads;0045000;7;7
2021.07.14.;Saldus novads;0046000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Saulkrastu novads;0047000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Siguldas novads;0048000;21;21
2021.07.14.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Talsu novads;0051000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Tukuma novads;0052000;28;28
2021.07.14.;Valkas novads;0053000;0;0
2021.07.14.;Valmieras novads;0054000;11;11
2021.07.14.;Varakļānu novads;0055000;0;0
2021.07.14.;Ventspils novads;0056000;no 1 līdz 5;no 1 līdz 5
2021.07.14.;Ventspils pilsēta;0007000;15;15
2021.07.15.;Adrese nav norādīta;Nav;…;…
2021.07.15.;Aizkraukles novads;0020000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Augšdaugavas novads;0022000;18;17
2021.07.15.;Ādažu novads;0023000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Balvu novads;0024000;no 1 līdz 5;0
2021.07.15.;Bauskas novads;0025000;8;8
2021.07.15.;Cēsu novads;0026000;10;10
2021.07.15.;Daugavpils pilsēta;0002000;18;17
2021.07.15.;Dienvidkurzemes novads;0027000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Dobeles novads;0028000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Jelgavas novads;0030000;7;6
2021.07.15.;Jelgavas pilsēta;0003000;21;21
2021.07.15.;Jēkabpils novads;0031000;10;10
2021.07.15.;Jūrmalas pilsēta;0004000;13;12
2021.07.15.;Krāslavas novads;0032000;15;14
2021.07.15.;Kuldīgas novads;0033000;9;7
2021.07.15.;Ķekavas novads;0034000;11;8
2021.07.15.;Liepājas pilsēta;0005000;11;10
2021.07.15.;Limbažu novads;0035000;7;7
2021.07.15.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Ludzas novads;0037000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Madonas novads;0038000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Mārupes novads;0039000;9;9
2021.07.15.;Ogres novads;0040000;15;14
2021.07.15.;Olaines novads;0041000;7;6
2021.07.15.;Preiļu novads;0042000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Rēzeknes novads;0043000;7;6
2021.07.15.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Rīga;0001000;280;246
2021.07.15.;Ropažu novads;0044000;10;10
2021.07.15.;Salaspils novads;0045000;7;6
2021.07.15.;Saldus novads;0046000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Saulkrastu novads;0047000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Siguldas novads;0048000;21;14
2021.07.15.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Talsu novads;0051000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Tukuma novads;0052000;28;28
2021.07.15.;Valkas novads;0053000;0;0
2021.07.15.;Valmieras novads;0054000;12;8
2021.07.15.;Varakļānu novads;0055000;0;0
2021.07.15.;Ventspils novads;0056000;no 1 līdz 5;no 1 līdz 5
2021.07.15.;Ventspils pilsēta;0007000;16;12
2021.07.16.;Adrese nav norādīta;Nav;…;…
2021.07.16.;Aizkraukles novads;0020000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Alūksnes novads;0021000;no 1 līdz 5;0
2021.07.16.;Augšdaugavas novads;0022000;19;18
2021.07.16.;Ādažu novads;0023000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Balvu novads;0024000;no 1 līdz 5;0
2021.07.16.;Bauskas novads;0025000;8;8
2021.07.16.;Cēsu novads;0026000;11;9
2021.07.16.;Daugavpils pilsēta;0002000;20;19
2021.07.16.;Dienvidkurzemes novads;0027000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Dobeles novads;0028000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Jelgavas novads;0030000;8;7
2021.07.16.;Jelgavas pilsēta;0003000;22;22
2021.07.16.;Jēkabpils novads;0031000;10;8
2021.07.16.;Jūrmalas pilsēta;0004000;16;15
2021.07.16.;Krāslavas novads;0032000;16;14
2021.07.16.;Kuldīgas novads;0033000;10;no 1 līdz 5
2021.07.16.;Ķekavas novads;0034000;14;11
2021.07.16.;Liepājas pilsēta;0005000;12;10
2021.07.16.;Limbažu novads;0035000;7;6
2021.07.16.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Ludzas novads;0037000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Madonas novads;0038000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Mārupes novads;0039000;9;9
2021.07.16.;Ogres novads;0040000;19;17
2021.07.16.;Olaines novads;0041000;7;6
2021.07.16.;Preiļu novads;0042000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Rēzeknes novads;0043000;7;6
2021.07.16.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Rīga;0001000;297;249
2021.07.16.;Ropažu novads;0044000;12;12
2021.07.16.;Salaspils novads;0045000;7;6
2021.07.16.;Saldus novads;0046000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Saulkrastu novads;0047000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Siguldas novads;0048000;21;12
2021.07.16.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Talsu novads;0051000;6;no 1 līdz 5
2021.07.16.;Tukuma novads;0052000;29;24
2021.07.16.;Valkas novads;0053000;0;0
2021.07.16.;Valmieras novads;0054000;12;7
2021.07.16.;Varakļānu novads;0055000;0;0
2021.07.16.;Ventspils novads;0056000;no 1 līdz 5;no 1 līdz 5
2021.07.16.;Ventspils pilsēta;0007000;18;11
2021.07.17.;Adrese nav norādīta;Nav;…;…
2021.07.17.;Aizkraukles novads;0020000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Alūksnes novads;0021000;no 1 līdz 5;0
2021.07.17.;Augšdaugavas novads;0022000;19;14
2021.07.17.;Ādažu novads;0023000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Balvu novads;0024000;no 1 līdz 5;0
2021.07.17.;Bauskas novads;0025000;8;8
2021.07.17.;Cēsu novads;0026000;12;10
2021.07.17.;Daugavpils pilsēta;0002000;20;15
2021.07.17.;Dienvidkurzemes novads;0027000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Dobeles novads;0028000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Jelgavas novads;0030000;8;7
2021.07.17.;Jelgavas pilsēta;0003000;22;19
2021.07.17.;Jēkabpils novads;0031000;10;6
2021.07.17.;Jūrmalas pilsēta;0004000;17;15
2021.07.17.;Krāslavas novads;0032000;18;14
2021.07.17.;Kuldīgas novads;0033000;10;no 1 līdz 5
2021.07.17.;Ķekavas novads;0034000;14;10
2021.07.17.;Liepājas pilsēta;0005000;13;8
2021.07.17.;Limbažu novads;0035000;8;7
2021.07.17.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Ludzas novads;0037000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Madonas novads;0038000;6;no 1 līdz 5
2021.07.17.;Mārupes novads;0039000;10;10
2021.07.17.;Ogres novads;0040000;19;17
2021.07.17.;Olaines novads;0041000;10;9
2021.07.17.;Preiļu novads;0042000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Rēzeknes novads;0043000;7;no 1 līdz 5
2021.07.17.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Rīga;0001000;316;240
2021.07.17.;Ropažu novads;0044000;13;12
2021.07.17.;Salaspils novads;0045000;7;6
2021.07.17.;Saldus novads;0046000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Saulkrastu novads;0047000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Siguldas novads;0048000;22;11
2021.07.17.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Talsu novads;0051000;7;no 1 līdz 5
2021.07.17.;Tukuma novads;0052000;32;24
2021.07.17.;Valkas novads;0053000;0;0
2021.07.17.;Valmieras novads;0054000;15;10
2021.07.17.;Varakļānu novads;0055000;0;0
2021.07.17.;Ventspils novads;0056000;no 1 līdz 5;no 1 līdz 5
2021.07.17.;Ventspils pilsēta;0007000;20;12
2021.07.18.;Adrese nav norādīta;Nav;…;…
2021.07.18.;Aizkraukles novads;0020000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Augšdaugavas novads;0022000;19;12
2021.07.18.;Ādažu novads;0023000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Balvu novads;0024000;no 1 līdz 5;0
2021.07.18.;Bauskas novads;0025000;8;8
2021.07.18.;Cēsu novads;0026000;14;12
2021.07.18.;Daugavpils pilsēta;0002000;20;15
2021.07.18.;Dienvidkurzemes novads;0027000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Dobeles novads;0028000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Jelgavas novads;0030000;8;7
2021.07.18.;Jelgavas pilsēta;0003000;23;18
2021.07.18.;Jēkabpils novads;0031000;11;7
2021.07.18.;Jūrmalas pilsēta;0004000;20;18
2021.07.18.;Krāslavas novads;0032000;18;14
2021.07.18.;Kuldīgas novads;0033000;11;no 1 līdz 5
2021.07.18.;Ķekavas novads;0034000;16;12
2021.07.18.;Liepājas pilsēta;0005000;14;9
2021.07.18.;Limbažu novads;0035000;8;7
2021.07.18.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Ludzas novads;0037000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Madonas novads;0038000;6;no 1 līdz 5
2021.07.18.;Mārupes novads;0039000;12;12
2021.07.18.;Ogres novads;0040000;19;17
2021.07.18.;Olaines novads;0041000;13;11
2021.07.18.;Preiļu novads;0042000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Rēzeknes novads;0043000;8;no 1 līdz 5
2021.07.18.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Rīga;0001000;321;225
2021.07.18.;Ropažu novads;0044000;14;11
2021.07.18.;Salaspils novads;0045000;7;no 1 līdz 5
2021.07.18.;Saldus novads;0046000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Saulkrastu novads;0047000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Siguldas novads;0048000;22;11
2021.07.18.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Talsu novads;0051000;9;no 1 līdz 5
2021.07.18.;Tukuma novads;0052000;32;24
2021.07.18.;Valkas novads;0053000;0;0
2021.07.18.;Valmieras novads;0054000;15;10
2021.07.18.;Varakļānu novads;0055000;0;0
2021.07.18.;Ventspils novads;0056000;no 1 līdz 5;no 1 līdz 5
2021.07.18.;Ventspils pilsēta;0007000;20;12
2021.07.19.;Adrese nav norādīta;Nav;…;no 1 līdz 5
2021.07.19.;Aizkraukles novads;0020000;no 1 līdz 5;no 1 līdz 5
2021.07.19.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.19.;Augšdaugavas novads;0022000;19;11
2021.07.19.;Ādažu novads;0023000;no 1 līdz 5;no 1 līdz 5
2021.07.19.;Balvu novads;0024000;no 1 līdz 5;0
2021.07.19.;Bauskas novads;0025000;9;9
2021.07.19.;Cēsu novads;0026000;14;12
2021.07.19.;Daugavpils pilsēta;0002000;20;15
2021.07.19.;Dienvidkurzemes novads;0027000;6;6
2021.07.19.;Dobeles novads;0028000;no 1 līdz 5;no 1 līdz 5
2021.07.19.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.19.;Jelgavas novads;0030000;8;7
2021.07.19.;Jelgavas pilsēta;0003000;24;19
2021.07.19.;Jēkabpils novads;0031000;11;7
2021.07.19.;Jūrmalas pilsēta;0004000;23;21
2021.07.19.;Krāslavas novads;0032000;18;14
2021.07.19.;Kuldīgas novads;0033000;11;no 1 līdz 5
2021.07.19.;Ķekavas novads;0034000;16;12
2021.07.19.;Liepājas pilsēta;0005000;15;10
2021.07.19.;Limbažu novads;0035000;9;8
2021.07.19.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.19.;Ludzas novads;0037000;no 1 līdz 5;no 1 līdz 5
2021.07.19.;Madonas novads;0038000;6;no 1 līdz 5
2021.07.19.;Mārupes novads;0039000;12;12
2021.07.19.;Ogres novads;0040000;19;17
2021.07.19.;Olaines novads;0041000;13;11
2021.07.19.;Preiļu novads;0042000;no 1 līdz 5;0
